2026-09-24T13:19:26Z INFO Logging to /tmp/logs/update_2026-09-24T13-19-26Z.log.
2026-09-24T13:19:26Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-24T13:19:26Z INFO Processing 500 items (53984 already recorded).
2026-09-24T13:24:25Z INFO [150/500] 10bac657-1a4e-4311-9927-de5270d3f488: checkpointed 54129 records.
2026-09-24T13:24:26Z INFO [151/500] 10baf779-6190-4e5a-ada9-4a38561f6c75: cophenetic index 2625; 1.0 s; peak memory 289 MiB.
2026-09-24T13:24:33Z INFO [152/500] 10bb6c77-c07e-40f7-a757-a888cf74f859: cophenetic index 48665; 6.5 s; peak memory 289 MiB.
2026-09-24T13:24:38Z INFO [153/500] 10bc82bc-bff0-4a7b-a211-9e646a1a052a: cophenetic index 110326; 5.0 s; peak memory 289 MiB.
2026-09-24T13:25:42Z INFO [154/500] 10bc872b-5417-4364-89b8-f24c221af3d7: cophenetic index 1250825186; 64.3 s; peak memory 696 MiB.
2026-09-24T13:25:44Z INFO [155/500] 10bd4984-fe2d-4ea7-a756-7ecf0b63ae3d: cophenetic index 5473; 2.1 s; peak memory 696 MiB.
2026-09-24T13:25:45Z INFO [156/500] 10bd4ed4-fd94-4e18-9bfb-bc244460cec2: cophenetic index 431; 0.6 s; peak memory 696 MiB.
2026-09-24T13:25:46Z INFO [157/500] 10bd564a-0216-4c74-a53d-9f9a76cc622e: cophenetic index 515; 1.2 s; peak memory 696 MiB.
2026-09-24T13:25:47Z INFO [158/500] 10bdf545-1353-4293-a45f-8aa0d69d6aa0: cophenetic index 2625; 0.9 s; peak memory 696 MiB.
2026-09-24T13:25:48Z INFO [159/500] 10be0ba6-6a8a-49be-89de-b9be039d012e: cophenetic index 624; 0.8 s; peak memory 696 MiB.
2026-09-24T13:25:48Z INFO [160/500] 10be6e12-2126-42e8-8bd8-3b805cddef7e: cophenetic index 624; 0.7 s; peak memory 696 MiB.
