2026-09-21T14:54:18Z INFO Logging to /tmp/logs/update_2026-09-21T14-54-18Z.log.
2026-09-21T14:54:18Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-21T14:54:18Z INFO Processing 500 items (51001 already recorded).
2026-09-21T14:54:19Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:54:19Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T14:54:20Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:54:20Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T14:56:30Z INFO [97/500] 0a74e9d2-bbae-4414-ab9b-2a4ff95db722: cophenetic index 972; 0.9 s; peak memory 272 MiB.
2026-09-21T14:56:30Z INFO [98/500] 0a74f70d-69ef-4f88-8f50-3a50b8464cdf: cophenetic index 2923; 0.6 s; peak memory 272 MiB.
2026-09-21T14:56:34Z INFO [99/500] 0a7688fd-57f7-48c2-a06b-798e6aa3d8ca: cophenetic index 9548; 3.1 s; peak memory 272 MiB.
2026-09-21T14:56:35Z INFO [100/500] 0a7756d8-a4b2-4027-8125-c7ea6a661689: cophenetic index 793; 1.0 s; peak memory 272 MiB.
2026-09-21T14:56:35Z INFO [100/500] 0a7756d8-a4b2-4027-8125-c7ea6a661689: checkpointed 51099 records.
2026-09-21T14:56:37Z INFO [101/500] 0a77ad71-a42a-4870-ad7d-259dc0aa2cdf: cophenetic index 5473; 2.0 s; peak memory 272 MiB.
2026-09-21T14:56:37Z INFO [102/500] 0a78d4c6-2e47-4c32-a839-8307b9facaca: cophenetic index 624; 0.5 s; peak memory 272 MiB.
2026-09-21T14:56:38Z INFO [103/500] 0a792a0e-0484-4d83-963d-d0016d3e0ad5: cophenetic index 624; 0.6 s; peak memory 272 MiB.
2026-09-21T14:56:38Z INFO [104/500] 0a797f79-5b2d-49e8-aff9-bf53e378a0de: cophenetic index 3004; 0.8 s; peak memory 272 MiB.
2026-09-21T14:56:41Z INFO [105/500] 0a7b563c-3781-49c6-93e9-ba671709f500: cophenetic index 9548; 2.7 s; peak memory 272 MiB.
2026-09-21T14:56:45Z INFO [106/500] 0a7b7dd6-2675-41e5-8251-a1244b364328: cophenetic index 6715; 3.8 s; peak memory 272 MiB.
2026-09-21T14:56:46Z INFO [107/500] 0a7bb020-d04c-4956-9407-7e71a1433918: cophenetic index 624; 0.5 s; peak memory 272 MiB.
